client,website,commission,role,start_date,division,status,note
Bar Crawl USA,https://barcrawlusa.com,n/a,Account Manager,2/16/2026,Digital,copied from August,Retainer note 450 x 50 percent = 225; bonus up to 300
Omega Landscaping,https://omegalandscapecorp.com,200,Account Manager,3/1/2026,360,copied from August,Local SEO and GBP
Kimberly James Bridal Boutique,https://kimberlyjamesbridal.com,300,Account Manager,3/12/2026,Digital,copied from August,Google Search and Meta
Fresh Blends,https://freshblends.com,500,Account Manager,3/23/2026,360,copied from August,Separated from Replenish / 7-Eleven
Onsite Concrete & Landscape,https://onsiteconcretelandscape.com,350,Account Manager,3/12/2026,360,copied from August,Paid media and local search
Fagan Painting,https://faganpainting.com,300,Meta Ads / Lead Tracking,6/29/2026,Digital,copied from August,Paid media shut down; organic and lead routing only
Omega Landscaping,https://omegalandscapecorp.com,300,Google Ads Manager,6/1/2026,360,copied from August,Google Ads lane separate from local SEO
Mike / Revive Systems,https://www.revive-systems.com,200,Funnel Optimization,6/22/2026,Digital,copied from August,Organic readiness and AEO/GEO
Bridge / Ecosystem for Tori,,1500,Software MVP Phase 3,6/1/2026,Digital,TORI ALREADY PAID awaiting Mac payout,20 pct of 7500; Mac Slack 2026-09-03 Tori has already paid for first 3 milestones; gate is now Mac paying Dillon not Tori paying Mac
VA Claims,https://vaclaimsedge.com,500,Software / Web Design,6/16/2026,Digital,copied from August,Phase 3 product lane
Tags 2 Go LLC,https://tags2go.pro,300,Google Ads Manager,8/11/2026,360,copied from August confirm or zero,August 24 cancellation directive
Jeanne Walcroft Legacy Foundation,https://jeanne-walcroft-legacy-foundation.netlify.app,200,Legacy Landing Page Development,7/20/2026,360,copied from August confirm or zero,August completion
Nexla,https://nexla.com,500,Google Ads / Account Management,8/19/2026,360,active work verified 2026-09-15,Month 2 of 3; GA4 access granted and GTM container v61 published 2026-09-15
Bar Crawl USA Halloween,https://barcrawlusa.com,400,10 Halloween Landing Pages,8/10/2026,Digital,copied from August confirm or zero,August one-time page build
Deborah Mara Real Estate,https://deborah.azldigital.com/,750,Paid Ads Account Manager,9/1/2026,Digital,new September,50 percent of 1500 monthly quote; prepaid 6 months
The GT Clinic,https://thegtclinic.com,450,Account Manager,9/1/2026,360,SIGNED 2026-09-09 upgraded from provisional,50 percent of 900; Ghazala Farooqui signed 9/9 Jesse signed 9/3; 17hats quote brgoeLawllWB; kickoff call held 2026-09-15
Puttery NYC,,650,Account Manager,8/1/2026,Digital,new September,Dillon stated September amount
AI Director monthly stipend,,500,AI Director role compensation,9/1/2026,Momentum brands,NEW 2026-09-15 confirmed,NOT a client commission; Mac Slack DM 12:57 EDT offered 500 for September as recurring role pay intended to grow; Dillon accepted same thread
TOTAL EXPECTED COMMISSIONS,,7400,,,,unchanged,Client commissions only
AI Director stipend,,500,,,,new,Role compensation separate from client commissions
TOTAL EXPECTED SEPTEMBER PAY,,7900,,,,new,7400 client commissions plus 500 AI Director stipend
,,,,,,,
STRETCH NOT IN EXPECTED TOTAL,,,,,,,Below are real contract value but gated; verified 2026-09-15
Bridge Phase 4 Directory MVP,,2700,Software MVP Phase 4,,Digital,STRETCH code on branches not merged,20 pct of 13500 NOT 1500; backend PR 1 unmerged and unreviewed; frontend PR 20 is draft held until backend proven; production serves sample data; no Tori acceptance; no M4 invoice
Bridge Phase 5 Early Engagement Layer,,900,Software MVP Phase 5,,Digital,STRETCH UI live on sample data only,20 pct of 4500 NOT 1500; posts follow repost UI merged but backend router does not mount posts favorites or notifications; persistence only exists in unmerged PRs; cannot be accepted before Phase 4 since it depends on directory profiles
Bridge Phase 6 Admin Security QA Launch,,1600,Software MVP Phase 6,,Digital,not a September close,20 pct of 8000
STRETCH SUBTOTAL PHASES 4 AND 5,,3600,,,,corrected from 3000,Prior 3000 assumed equal 7500 milestones; actual contract milestones are unequal
TOTAL IF PHASES 4 AND 5 BOTH CLOSE,,11500,,,,,7900 plus 3600
Digital subtotal,,4600,,,,unchanged,Excludes stretch rows
360 subtotal,,2800,,,,unchanged,
