post,slug,status,live_url,published_at,featured_image,alt_verified,schema_verified,sitemap_verified,qa_notes
1,commercial-cleaning-checklist-facility-managers,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
2,how-often-should-office-be-cleaned,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
3,day-porter-vs-nightly-janitorial-service,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
4,vct-floor-care-stripping-waxing-maintenance,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
5,post-construction-cleaning-checklist,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
6,medical-office-cleaning-guide,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
7,school-childcare-cleaning-routine,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
8,warehouse-cleaning-plan,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
9,commercial-restroom-cleaning-standards,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
10,prepare-commercial-cleaning-walkthrough,ready,,,,false,false,false,"2026-08-30: public REST posts empty; slug 404. Awaiting current WordPress admin session."
