"asset_id","title","source_file","slug","canonical_candidate","suggested_wordpress_type","draft_state","original_scope_state","cta","approval_gate","html_fragment","schema_file"
"HUB-01","Custom Home Builder Marketing That Builds Trust Before the First Call","content/pillar-page-interview-integrated.md","/marketing-agency-for-builders/","https://bigorange.marketing/marketing-agency-for-builders/","page","complete local review draft; not approved for staging or publication","Complete interview-integrated draft","Schedule a non-sales call","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/HUB-01-marketing-agency-for-builders.html","schema/HUB-01.schema.json"
"ART-01","Why Your Home Builder Website Is Not Generating Qualified Leads","content/supporting-article-01-interview-integrated.md","/home-builder-website-not-generating-leads/","https://bigorange.marketing/home-builder-website-not-generating-leads/","post","complete local review draft; not approved for staging or publication","Complete interview-integrated draft","Request a builder website clarity review","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/ART-01-home-builder-website-not-generating-leads.html","schema/ART-01.schema.json"
"ART-02","5 Articles Every Custom Home Builder Blog Needs","content/supporting-article-02-interview-integrated.md","/custom-home-builder-blog-articles/","https://bigorange.marketing/custom-home-builder-blog-articles/","post","complete local review draft; not approved for staging or publication","Complete interview-integrated draft","Schedule a builder content planning call","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/ART-02-custom-home-builder-blog-articles.html","schema/ART-02.schema.json"
"STR-01","A Practical Home Builder Marketing Plan","content/production-drafts/STR-01-home-builder-marketing-plan.md","/home-builder-marketing-plan/","https://bigorange.marketing/home-builder-marketing-plan/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Download the 90-day planning worksheet","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/STR-01-home-builder-marketing-plan.html","schema/STR-01.schema.json"
"VIS-01","SEO, Local Search, and AI Visibility for Home Builders","content/production-drafts/VIS-01-seo-local-ai-visibility-home-builders.md","/seo-for-home-builders/","https://bigorange.marketing/seo-for-home-builders/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Request a builder visibility review","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/VIS-01-seo-for-home-builders.html","schema/VIS-01.schema.json"
"WEB-01","Home Builder Website Design, Proof, and Conversion","content/production-drafts/WEB-01-home-builder-website-design.md","/home-builder-website-design/","https://bigorange.marketing/home-builder-website-design/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Request a builder website clarity review","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/WEB-01-home-builder-website-design.html","schema/WEB-01.schema.json"
"AUD-01","Custom Home Builder Target Market Segments","content/production-drafts/AUD-01-custom-home-builder-target-market-segments.md","/custom-home-builder-target-market-segments/","https://bigorange.marketing/custom-home-builder-target-market-segments/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Map the right-fit buyer","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/AUD-01-custom-home-builder-target-market-segments.html","schema/AUD-01.schema.json"
"LEAD-01","Home Builder Lead Generation and Follow-Up","content/production-drafts/LEAD-01-home-builder-lead-generation.md","/home-builder-lead-generation/","https://bigorange.marketing/home-builder-lead-generation/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Map the lead handoff","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/LEAD-01-home-builder-lead-generation.html","schema/LEAD-01.schema.json"
"LOCAL-01","Local SEO for Home Builders: Markets, Reviews, and Proof","content/production-drafts/LOCAL-01-local-seo-home-builders.md","/local-seo-for-home-builders/","https://bigorange.marketing/local-seo-for-home-builders/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Download the local visibility checklist","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/LOCAL-01-local-seo-for-home-builders.html","schema/LOCAL-01.schema.json"
"NUR-01","Home Builder Email Marketing, CRM, and Lead Nurture","content/production-drafts/NUR-01-home-builder-email-marketing-crm.md","/home-builder-email-marketing-crm/","https://bigorange.marketing/home-builder-email-marketing-crm/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Review the lead nurture path","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/NUR-01-home-builder-email-marketing-crm.html","schema/NUR-01.schema.json"
"AUTO-01","Marketing Automation for Home Builders Without Losing the Human Touch","content/production-drafts/AUTO-01-home-builder-marketing-automation.md","/home-builder-marketing-automation/","https://bigorange.marketing/home-builder-marketing-automation/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Map the automation opportunities","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/AUTO-01-home-builder-marketing-automation.html","schema/AUTO-01.schema.json"
"SOC-01","Social Media Marketing for Home Builders","content/production-drafts/SOC-01-social-media-marketing-home-builders.md","/social-media-marketing-for-home-builders/","https://bigorange.marketing/social-media-marketing-for-home-builders/","page","complete local review draft; not approved for staging or publication","Brief ready; production explicitly excluded from current pilot","Plan a builder content capture day","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/SOC-01-social-media-marketing-for-home-builders.html","schema/SOC-01.schema.json"
"CNT-01","Home Builder Content Marketing That Answers Real Buyer Questions","content/production-drafts/CNT-01-home-builder-content-marketing.md","/home-builder-content-marketing/","https://bigorange.marketing/home-builder-content-marketing/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Build the first editorial map","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/CNT-01-home-builder-content-marketing.html","schema/CNT-01.schema.json"
"GAL-01","Best Home Builder Websites: Examples and Evaluation Criteria","content/production-drafts/GAL-01-best-home-builder-websites.md","/best-home-builder-websites/","https://bigorange.marketing/best-home-builder-websites/","page","complete local review draft; not approved for staging or publication","Brief ready; production not included in current pilot","Score a builder website","Janice or SME review where applicable; leadership; imagery; staging; exact-revision publication approval","wordpress-ready-html/GAL-01-best-home-builder-websites.html","schema/GAL-01.schema.json"
