page,query,clicks,impressions,avg_position
https://www.immohrtalmarketing.com/aeo-geo/,geo-aeo-tracker,0,1,88
https://www.immohrtalmarketing.com/insights/entity-first-content-architecture/,entity architect,0,8,58.4
https://www.immohrtalmarketing.com/insights/entity-first-content-architecture/,entity building,0,16,76.2
https://www.immohrtalmarketing.com/insights/entity-first-content-architecture/,entity-building,0,2,52
https://www.immohrtalmarketing.com/insights/entity-first-content-architecture/,entity-first content optimization,0,2,95
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,ai overview optimization services,0,6,93.8
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,ai overview seo services,0,1,96
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,ai overviews optimization agency,0,7,97.6
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,ai overviews optimization services,0,1,100
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,ai search optimization for service businesses,0,1,97
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,austin ai overviews optimization,0,1,93
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,"conversion optimized website ,34,1,, ai overview ,480,i, reviews, video, people also ask, ai overview, related searches ,0.02,15,https://www.wsiworld.com/blog/from-clicks-to-customers-optimizing-your-website-for-conversions,3,0.07,45",0,5,79.4
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,google ai overview optimization agency,0,1,74
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,google ai overview optimization austin,0,7,87.1
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,google ai overview optimization for foundation repair,0,2,80.5
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,google ai overview optimization for home services franchise,0,3,90.7
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,google ai overview optimization services,0,3,87.3
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,how can recruitment agencies improve ai visibility in google overviews,0,1,82
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,how to appear in google ai overviews as a security company,0,1,74
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,how to optimize website for google ai overviews,0,1,84
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,"landing page optimization services ,27,1,1, ai overview ,260,i, reviews, video, people also ask, ai overview, related searches ,0.03,0,https://www.wsiworld.com/our-services/landing-page-optimization,7,0.17,0",0,8,71.6
https://www.immohrtalmarketing.com/insights/google-ai-overviews-service-businesses/,"landing page optimization services ,27,2,6,,260,i, reviews, video, people also ask, ai overview, related searches ,0.03,0,https://www.wsiworld.com/our-services/landing-page-optimization,13,0.32,0",0,5,79.4
https://www.immohrtalmarketing.com/insights/javascript-seo-react-crawlable-html/,crawl react website,0,33,72.8
https://www.immohrtalmarketing.com/insights/javascript-seo-react-crawlable-html/,react web crawler,0,1,65
https://www.immohrtalmarketing.com/insights/measure-ai-search-visibility/,"""how can i tell if an ai visibility solution is actually improving mentions",0,1,83
https://www.immohrtalmarketing.com/insights/measure-ai-search-visibility/,ai discoverability score,0,1,93
https://www.immohrtalmarketing.com/insights/measure-ai-search-visibility/,ai search performance measurement,0,1,80
https://www.immohrtalmarketing.com/insights/measure-ai-search-visibility/,ai search visibility data,0,5,85.8
https://www.immohrtalmarketing.com/insights/measure-ai-search-visibility/,ai search visibility factors,0,3,97
https://www.immohrtalmarketing.com/insights/measure-ai-search-visibility/,ai search visibility metrics,0,13,85.2
https://www.immohrtalmarketing.com/insights/measure-ai-search-visibility/,ai search visibility score,0,3,99.7
