url,lane,cluster,keywords_owned,best_rank,seo,aeo,geo,priority,client_template
https://bigorange.marketing/marketing-agency-for-builders/,builder-pilot,home-builder,17,1,"Keep as sole builder commercial owner (WP 1381). Rewrite lead-promise meta. One H1. No CONSULT-01/PPC-01. Reslug satellite /home-builder-marketing-agency/. Aug 20 mobile LCP 36s blocks any hub swap.","Answer box: what a home builder marketing agency is. Define agency vs ad shop vs in-house. 5 FAQs on scope/local vs national. Speakable: What is a marketing agency for home builders?","Entity: BigOrange + builders + Cincinnati. Homearama/Janice claims gated. Satellites are proof not twins. No ranking or lead promises.",P0,Vertical commercial hub (clone for MSP/manufacturing/landscaping)
https://bigorange.marketing/,rest-of-site,local-cincinnati,2,9,"Fix Stategic in meta/OG/schema. Align title/H1/meta to Cincinnati multi-vertical router. 8/50 images missing alt. Own city terms only; builder+Cincinnati stays on hub.","Answer: Cincinnati agency that routes to vertical hubs. Define local specialist vs directory. 5 FAQs on industries/geography. Speakable: What is BigOrange Marketing?","Entity: BigOrange Marketing Cincinnati. Repair Organization schema after typo. Homepage is router not fifth hub. No ranking promises.",P0,Local multi-vertical router homepage
https://bigorange.marketing/msp-it-services-marketing-agency/,rest-of-site,msp-it,6,3,"MSP commercial owner. Resolve engine split on msp marketing company vs /top-msp-marketing-agencies/. Remove top/lead-promise meta. Decide AI-search H1 vs agency H1. Noindex campaign twins.","Answer: what an MSP marketing agency does. Define vs in-house vs website vendor. 5 FAQs including How do I find a marketing agency for my MSP. Speakable: What is an MSP marketing agency?","Entity: BigOrange as MSP-specialist agency. No unsourced best-company table on this URL. Date AI-search claims. No citation promises.",P0,MSP commercial hub
https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,rest-of-site,storybrand,8,1,"Protect storybrand examples (1) and declining website examples (2). Drop Best/2025 unless re-reviewed. Move BrandScript example terms to /storybrand-brandscript-examples/. Keep slug.","Answer: what StoryBrand website examples are. Define website vs BrandScript vs Guide. 5 FAQs. Speakable: What are StoryBrand website examples?","Attribute StoryBrand/Miller. Label BOM-built vs third-party. Client sites need permission. No ranking adjectives.",P0,Annotated examples gallery (one job)
https://bigorange.marketing/manufacturing-storybrand-website-examples-to-inspire-you/,rest-of-site,manufacturing,1,3,"Protect declining position-3 term. Keep manufacturing+StoryBrand modifier in H1. Do not retitle as marketing for manufacturers (hub job). Refresh or date the five examples.","Answer: manufacturing StoryBrand websites. Define industrial-buyer variant. 5 FAQs. Speakable: What are manufacturing StoryBrand website examples?","Entity: manufacturers + StoryBrand + BOM practice. Permission/dates on examples. Hub owns marketing for manufacturers (201-500).",P0,Vertical modifier on an examples gallery
https://bigorange.marketing/best-msp-blog-list-big-orangemarketing/,rest-of-site,msp-it,1,3,"Mobile dropped (>-19). Cite live publisher+date or 301 into resources. Not an MSP hub. Fix awkward Yoast title.","Answer: third-party list citation + link to resource library. Define MSP blog vs agency blog. 5 FAQs. Speakable: What is the Best MSP Blog list referenced by BigOrange?","Best belongs to the cited list only. BOM is a marketing agency not an MSP. No list = no credential claim.",P0,Third-party list/award citation page
https://bigorange.marketing/what-is-the-process-plan-of-storybrand/,rest-of-site,storybrand,1,3,"Protect process/plan query (mobile 4/-2). Do not expand H1 to generic storybrand website. Link 7-steps and purpose as siblings.","Answer: StoryBrand process plan vs seven steps vs BrandScript. 5 FAQs. Speakable: What is the process plan of a StoryBrand website?","BOM process table is the firsthand asset. Remove increasing-leads meta. Attribute step names.",P0,Process/plan article beside a framework definition
https://bigorange.marketing/ai-search-optimization-services/,commercial-zero,other,0,,"P0 health: 4 H1s + index nofollow (WP 5067). Choose index follow if real service else noindex. One H1. Remove outrank/lead meta. Do not twin MSP hub AI H1.","Answer: what AI search optimization is (answer-ready pages not citation guarantees). Define AEO vs SEO vs GEO. 5 FAQs including explicit no-citation promise. Speakable: What is AI search optimization?","This Sept 3 package is the method proof once blocks are live. Mention robots search-vs-training policy as policy not a lever. No ranking promises.",P0,AEO service page (fix before showing as POC)
https://bigorange.marketing/msp-marketing-resources/,rest-of-site,msp-it,13,5,"Largest rest-of-site stack. Keep library+definition; one H2 What is MSP marketing for engine-split strings. Fix 21 Things title/spacing. Confirmation URL stays noindex. Assign managed services provider marketing (501-850) here.","Answer+definition box for MSP marketing. 5 FAQs on kit/ads/library vs agency. Speakable: What is MSP marketing?","Date every list item. Kill expired tools. BOM checklists over scraped tools. Commercial close to MSP hub.",P1,Vertical resource pillar
https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,rest-of-site,msp-it,3,3,"Keep MSP modifier in H1. Refresh declining inbound variants (4/-2). Do not target inbound marketing cincinnati (homepage).","Answer: inbound for MSPs. Define vs outbound. 5 FAQs. Speakable: What is inbound marketing for MSPs?","MSP modifier is the GEO. Source HubSpot inbound docs if cited. No ranking promises.",P1,Methodology x vertical article
https://bigorange.marketing/storybrand-certified-guide-cost/,rest-of-site,storybrand,3,4,"Own cost/certified agency/guide. Stop ranking Is StoryBrand Free on desktop (split with /is-storybrand-free/). Link free page once do not H2 the free question.","Answer: what hiring a certified guide costs/includes. Define Guide vs Agency vs book. 5 FAQs. Speakable: How much does a StoryBrand Certified Guide cost?","State current certification only if true. Dated scope table. Dollars need approved offer. No income/rank promises.",P1,Pricing/scope explainer for a certified method
https://bigorange.marketing/storybrand-website-checklist-does-your-website-pass-the-test/,rest-of-site,storybrand,3,5,"Own checklist terms only. Refresh 2023 checklist vs current section names. Visible review date.","Answer: pass/fail StoryBrand website checklist. Define vs BrandScript vs design QA. 5 FAQs. Speakable: What is a StoryBrand website checklist?","Filled approved example beats empty list. Attribute framework terms. Builder WEB-01 is the clone.",P1,QA checklist article
https://bigorange.marketing/storybrand-brandscript-examples/,rest-of-site,storybrand,3,7,"Own StoryBrand BrandScript (7 vol 101-200) and what-is (13 declining). Recover example terms from hero page. H1 = BrandScript not ignite.","Answer+definition: what a BrandScript is + examples. 5 FAQs. Speakable: What is a StoryBrand BrandScript?","Permission for real excerpts; mark fiction. One redacted real script beats generic copy.",P1,Named artifact + examples
https://bigorange.marketing/msp-lead-generation/,rest-of-site,msp-it,2,2,"Slug is lead-gen but Moz ranks StoryBrand MSP website terms (2/3). Retitle toward lead-gen; move gallery job to examples URL. Attach unranked MSP Lead Generation (51-100). Review sibling /msp-lead-generation-marketing-strategies/.","Answer: what MSP lead generation is. Define qualified lead vs form fill. 5 FAQs. Speakable: What is MSP lead generation?","No lead-volume promises. One approved pipeline story. Website examples are a different URL.",P1,Demand-gen article that is not a second gallery
https://bigorange.marketing/what-is-included-in-an-msp-marketing-plan/,rest-of-site,msp-it,2,2,"Keep question title. Add crawlable section table to lift msp marketing plan (9). Unranked plan/strategy strings as H2s not new URLs.","Answer: plan contents. Define plan vs calendar vs BrandScript. 5 FAQs. Speakable: What is included in an MSP marketing plan?","Redacted sample plan if approved. Soften attract-new-clients meta.",P1,Plan contents article
https://bigorange.marketing/what-is-marketing-in-the-it-industry/,rest-of-site,msp-it,2,5,"Owner of it-marketing family (it marketing 5 vol 101-200). Attach unranked marketing for it / it company marketing cluster. Content article must not use IT marketing as H1.","Answer+definition: marketing in the IT industry vs MSP marketing. 5 FAQs. Speakable: What is marketing in the IT industry?","BOM is not an IT provider. Market-size claims need publisher+date or stay off.",P1,Industry definition article
