keyword_cluster,patient_intent,current_coverage,gap_class,next_action,guardrail
functional medicine Marlton,local consultation,Homepage broad coverage confirmed by current snippet,thin existing coverage,"Choose one clinic priority and create a physician-reviewed decision page",No volume or ranking claim
sleep concerns functional medicine Marlton,consultation,Homepage names sleep disorders,unverified dedicated page,"Verify sitemap then brief only if this is clinic approved priority",No diagnosis or treatment promise
gut health functional medicine Marlton,consultation,Homepage names digestive and gut health,unverified dedicated page,"Verify sitemap then brief only if this is clinic approved priority",No diagnosis or treatment promise
metabolic health and weight optimization Marlton,consultation,Homepage names metabolic health and weight optimization,unverified dedicated page,"Verify sitemap then brief only if this is clinic approved priority",No outcome promise
inflammation and autoimmune functional medicine Marlton,consultation,Homepage names this focus,unverified dedicated page,"Verify sitemap then brief only if this is clinic approved priority",Medical review required
Botox or Xeomin Marlton,service evaluation,Named in current service menus,unverified canonical service page,"Confirm one target URL and link from FAQ and location pages",Do not infer page absence
dermal fillers Marlton,service evaluation,Named in current service menus,unverified canonical service page,"Confirm one target URL and link from FAQ and location pages",Do not infer page absence
laser hair removal Marlton,service evaluation,Named in current service menus,unverified canonical service page,"Confirm one target URL and link from FAQ and location pages",Do not infer page absence
Radiesse biostimulators Marlton,service evaluation,Named in current service menus,unverified canonical service page,"Confirm one target URL and link from FAQ and location pages",Do not infer page absence
non surgical facial rejuvenation Marlton,service evaluation,Homepage names service category and GT Restore Lift appears in menus,unverified dedicated page,"Clarify service name and surgical comparison boundary",Medical and comparative review
microneedling Marlton,service evaluation,Dedicated indexed page,thin freshness evidence,"Refresh page after source inspection with reviewer and related concerns",Current crawl date in search result is older
hyperpigmentation melasma dark spots Marlton,condition and service,Dedicated indexed page,strong existing coverage,"Protect canonical page and connect to FAQ and physician proof",Medical review of claims
scar treatment acne scars Marlton,condition and service,Dedicated indexed page,strong existing coverage,"Protect canonical page and connect to FAQ and physician proof",Medical review of claims
laser vein removal Marlton,service evaluation,Dedicated indexed page,strong existing coverage,"Protect canonical page and confirm claim support",Medical review of claims
hair restoration PRP Marlton,service evaluation,Dedicated indexed page,strong existing coverage,"Clarify evidence and candidate framing with physician reviewer",Medical review of claims
mens intimate wellness Marlton,private consultation,Dedicated indexed page,strong existing coverage,"Protect page and validate sensitive-health wording and schema eligibility",Medical review required
womens intimate wellness Marlton,private consultation,Dedicated indexed page,strong existing coverage,"Protect page and validate sensitive-health wording and schema eligibility",Medical review required
aesthetic medicine Cherry Hill,nearby local consultation,Dedicated indexed location page,thin local differentiation,"Retain verified travel facts and add unique supported local context",No unsupported nearest claim
aesthetic medicine Moorestown,nearby local consultation,Dedicated indexed location page,thin local differentiation,"Retain verified travel facts and add unique supported local context",No unsupported nearest claim
aesthetic medicine Voorhees,nearby local consultation,Dedicated indexed location page,weak title quality,"Replace slug style title and verify unique local copy",No unsupported closest claim
physician performed aesthetics Marlton,trust and provider selection,Homepage and FAQ support physician-led positioning,thin entity distribution,"Update expert page and link it from every priority service page",Verify credentials and reviewer date
