Claim ID,Timestamp,Speaker,Working claim,Claim type,Permission,Target assets,Verification needed,Public status
BO-001,main 01:30-02:40,Janice,"BigOrange can serve custom builders and production builders",experience,?,pillar; proposal,Janice factual review,hold
BO-002,main 02:41-03:12,Janice,"A tentative custom-builder fit threshold may be around $8M-$12M",internal estimate,?,internal qualification notes,Margee confirmation,internal only
BO-003,main 03:35-06:02,Janice,"Succession, drying leads, thin internal capacity, aging websites, and slowing referrals trigger the search for help",experience pattern,?,pillar; FAQ; proposal,Janice factual review,hold
BO-004,main 06:03-08:38,Janice,"BigOrange can also support developers and master-planned communities",experience,?,pillar; roadmap,Janice factual review,hold
BO-005,main 12:13-15:16,Janice,"Project photography, an active web/social presence, personality fit, and local show-home proof build trust",professional opinion,?,pillar; article 1; FAQ,Janice factual review,hold
BO-006,main 15:22-18:07,Janice,"Generic craftsmanship/design/process claims become distinct only through discovery, customer interviews, and a verifiable operating difference",process,?,pillar; workflow,Janice factual review,hold
BO-007,main 18:09-19:31,Janice,"Referrals become insufficient when leads dry up, relocating buyers lack a local network, or the company wants to change its service mix",professional opinion,?,pillar; FAQ; article brief,Janice factual review,hold
BO-008,main 19:33-22:11,Janice,"The first screen should lead with excellent project photography; finished/furnished, twilight, and behind-the-scenes images each have a role",professional opinion,?,pillar; article 1; image plan,Janice factual review,hold
BO-009,main 22:13-25:28,Janice,"Pricing guidance, site work, permits, architect/design-build relationships, and land questions deserve direct public answers",professional opinion,?,article 1; article 2; FAQ,Janice factual review,hold
BO-010,main 25:31-26:32,Janice,"A builder does not perform every specialty personally; marketing can also be contracted to a specialist",professional opinion,?,pillar; objection sheet,Janice factual review,hold
BO-011,main 26:28-27:18,Janice,"Referrals and work that 'speaks for itself' do not reach people who have never seen the builder",professional opinion,?,pillar; FAQ,Janice factual review,hold
BO-012,main 29:21-29:52,Janice,"Natural market terms include move-up buyers, custom homes, executive homes, estates, and luxury",terminology,?,keyword copy map,Janice factual review,hold
BO-013,main 31:41-32:29,Janice,"An MQL has raised a hand; marketing brings leads and sales must follow up",process,?,measurement plan; FAQ,Complete lead-quality definition,hold
BO-014,overflow 00:00-00:40,Janice,"Ninety days is short; a launched website is a healthy early state and six months is more realistic for momentum",professional opinion,?,proposal; roadmap; FAQ,Janice factual review,hold
BO-015,overflow 00:40-02:10,Janice,"BigOrange paired a pre-Homearama website refresh with email nurture to handle a large, mostly unqualified event audience",client example,P,pillar; proposal; case-study lead,"Verify event, client, timeframe, and any number before use; anonymize unless separately approved",paraphrase draft
BO-016,overflow 02:10-02:31,Janice,"Cinematic Authority is Janice's likely preference; Margee and Paula decide",visual input,I,leadership packet,Margee and Paula decision,internal decision input
