client,work_type,claim,evidence_type,evidence_source,metric,metric_value,date_range,verified_status,strength
bigorange-marketing,SEO,Search Console history available on this property from 2025-05-13 (488 days of final data),measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\full16__2025-05-13_2026-09-12__dims-date__type-web__final.json,days of data,488,2025-05-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,Organic clicks from Google web search in August 2026 (site total),measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-none__type-web__final.json,clicks,313,2026-08-01 to 2026-08-31,measured,medium
bigorange-marketing,SEO,"Organic impressions in August 2026 (site total), average position 26.8",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-none__type-web__final.json,impressions,215082,2026-08-01 to 2026-08-31,measured,medium
bigorange-marketing,SEO,"Year over year organic clicks, August 2025 vs August 2026: 610 to 313 (-48.7%)",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-none__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2025__2025-08-01_2025-08-31__dims-none__type-web__final.json,clicks YoY change,-48.7%,2025-08 vs 2026-08,measured,weak
bigorange-marketing,SEO,"Year over year average position, August 2025 vs August 2026: 38.7 to 26.8",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-none__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2025__2025-08-01_2025-08-31__dims-none__type-web__final.json,avg position YoY,38.7 to 26.8,2025-08 vs 2026-08,measured,medium
bigorange-marketing,SEO,"Year over year impressions, August 2025 vs August 2026: 377882 to 215082 (-43.1%)",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2026__2026-08-01_2026-08-31__dims-none__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\aug2025__2025-08-01_2025-08-31__dims-none__type-web__final.json,impressions YoY change,-43.1%,2025-08 vs 2026-08,measured,weak
bigorange-marketing,SEO,"Eight month windows, first (2025-05-13 to 2026-01-12) vs last (2026-01-13 to 2026-09-12): clicks 4768 to 3450, avg position 32.2 to 22.4",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-none__type-web__final.json ; C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winA__2025-05-13_2026-01-12__dims-none__type-web__final.json,clicks winA to winB,4768 to 3450,2025-05-13 to 2026-09-12,measured,weak
bigorange-marketing,SEO,"Ranks average position 2.1 for ""landscape company artificial turf design keywords"" with 1778 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 27",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,2.1,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 1.03 for ""brand strategy agency"" with 1186 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.03,2026-01-13 to 2026-09-12,measured,medium
bigorange-marketing,SEO,"Ranks average position 1.01 for ""experiential marketing agency"" with 833 impressions and 0 clicks (zero clicks at this position, a pattern consistent with AI Overview or feature only impressions); last 28 days position 1",measured,C:\Users\dillo\Documents\Codex\projects\client-operations\clients\momentum-360\deliverables\2026-09-15-attribution-proof\raw\gsc\https_bigorange.marketing\winB__2026-01-13_2026-09-12__dims-query__type-web__final.json,avg position,1.01,2026-01-13 to 2026-09-12,measured,medium
