Calendar Row,Current Day,Current Concept,Current Format,Candidate Old Tracker Row,Mapping Note,Client Notes Present,Internal QA,Attorney Review,Client Approval,Ready for Client Update
3,DAY 1,Brand Statement — Establish the refreshed Pritzker identity and tone.,Static,2,same concept,Yes,Unverified,Unverified,Unverified,No
4,DAY 2,What We Wish Clients Knew — Introduce educational content without getting overly technical.,Carousel,3,same carousel asset; day changed,Yes,Unverified,Unverified,Unverified,No
5,DAY 3,Is This ACTUALY Allowed in Philadelphia?,Quick Reel,,new zoning concept; example reel link remains; final asset unresolved,Yes,Unverified,Unverified,Unverified,No
6,DAY 4,From Intake Call → Shovel in the Ground,Quick Cut Reel,,new concept,No,Unverified,Unverified,Unverified,No
7,DAY 5,Myth vs. Reality — Address a common misconception related to the firm's practice areas.,Carousel,6,concept match; day changed,No,Unverified,Unverified,Unverified,No
8,DAY 6,Before You… Series — First installment of a repeatable educational franchise.,Static,7,concept match; day changed,No,Unverified,Unverified,Unverified,No
9,DAY 7,10 Years of Pritzker Law Group,Fast-cut Reel,,new anniversary concept,No,Unverified,Unverified,Unverified,No
10,DAY 8,Adam Asks “What Strength Do I Have That You Don’t Think I Realize?”,Reel,,new hat-series concept,No,Unverified,Unverified,Unverified,No
11,DAY 9,The Question We Get All the Time — Launch recurring FAQ franchise.,Carousel,11,concept match; day changed,No,Unverified,Unverified,Unverified,No
12,DAY 10,Why Would You Hire Rachael?,Personality Reel,,new personality concept,No,Unverified,Unverified,Unverified,No
13,DAY 11,Client Philosophy — Communicate how Pritzker approaches representation.,Static,12,concept match; day changed,No,Unverified,Unverified,Unverified,No
14,DAY 12,"60 Seconds With Pritzker — Fast, useful legal education.",Reel,,two old 60 Seconds rows; ambiguous,No,Unverified,Unverified,Unverified,No
15,DAY 13,Red Flags — Highly saveable educational carousel.,Carousel,14,concept match; day changed,No,Unverified,Unverified,Unverified,No
16,DAY 14,"Rachael — Personality, philosophy and professional background.",Static / Carousel,15,profile match; day changed,No,Unverified,Unverified,Unverified,No
17,DAY 15,The Work Behind the Win,Static / Carousel,16,title changed from Work Behind the Work to Work Behind the Win; confirm,No,Unverified,Unverified,Unverified,No
18,DAY 16,Local / Community Authority — Connect Pritzker to the community it serves.,Static,17,concept match; day changed,No,Unverified,Unverified,Unverified,No
19,DAY 17,The Pritzker Perspective — Rachael takes one commonly misunderstood legal issue and explains what people actually need to understand.,Reel,,two old Perspective rows; ambiguous,No,Unverified,Unverified,Unverified,No
20,DAY 18,Ask Pritzker — End the month by actively inviting audience participation and sourcing future content.,Static,19,concept match; day changed,No,Unverified,Unverified,Unverified,No
21,DAY 19,"Adam — Personality, philosophy and professional background.",Static / Carousel,20,profile match; day changed,No,Unverified,Unverified,Unverified,No
