"Priority","Topic Cluster","Proposed Query","Semrush Intent","Funnel Stage","Recommended Asset","US Volume","KD %","CPC USD","Validation Status","Why Selected","Decision","Moz SERP Date","Moz Desktop Rank","Moz Desktop Change","Moz Desktop URL","Moz Volume Range","Moz Mobile Rank","Moz Mobile Change","Moz Mobile URL","Evidence Note"
"1","SEO and visibility","SEO for home builders","Informational","Consideration","Subpillar","590","2","6.43","Live Semrush US desktop 2026-08-04","Highest combination of service relevance meaningful volume and very low difficulty","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"2","Core authority","custom home builder marketing","Informational","Consideration","Pillar page","480","9","9.03","Live Semrush US desktop 2026-08-04","Exact approved category with very easy difficulty and meaningful commercial value","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"3","Website conversion","home builder website not generating leads","Informational","Consideration","Supporting article","880","4","0.00","Live Semrush US desktop 2026-08-04","High volume pain point with very low difficulty and natural conversion audit CTA","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"4","Audience strategy","custom home builder target market segments","Informational","Awareness","Supporting guide","1000","17","0.00","Live Semrush US desktop 2026-08-04","Highest relevant informational demand and strong strategy differentiation","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"5","Strategy","home builder marketing","Informational","Consideration","Core category hub","1000","28","10.20","Live Semrush US desktop 2026-08-04","Large category term with strong CPC and direct service relevance","Build as pillar expansion","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"6","Website conversion","home builder website design","Commercial","Decision","Service page support","480","15","5.38","Live Semrush US desktop 2026-08-04","Direct fit with BigOrange website capabilities and favorable difficulty","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"7","Core authority","home building marketing","Informational","Consideration","Pillar variation","390","12","10.20","Live Semrush US desktop 2026-08-04","Close category variation with very easy difficulty and high CPC","Map to pillar","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"8","Digital strategy","home builder digital marketing","Informational","Consideration","Subpillar","320","23","0.00","Live Semrush US desktop 2026-08-04","Broad builder specific service category with viable difficulty","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"9","Strategy","home builder marketing plan","Informational","Awareness","Guide and template","320","15","0.00","Live Semrush US desktop 2026-08-04","Strong planning query with natural consultation and download CTA","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"10","Strategy","home builder marketing ideas","Informational","Awareness","Supporting article","320","19","0.00","Live Semrush US desktop 2026-08-04","Useful discovery term that can feed the authority hub","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"11","Lead generation","home builder lead generation","Informational plus Commercial","Consideration","Subpillar","260","14","0.00","Live Semrush US desktop 2026-08-04","Direct business outcome and common builder growth need","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"12","Core authority","custom home builder marketing strategies","Informational","Consideration","Supporting article","260","10","0.00","Live Semrush US desktop 2026-08-04","Very easy strategic variation that strengthens topical authority","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"13","Local visibility","local SEO for home builders","Informational","Consideration","Supporting article","170","2","0.00","Live Semrush US desktop 2026-08-04","Extremely low difficulty and aligned with service area visibility","Build now","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"14","Website conversion","home builder websites","Informational","Consideration","Gallery and evaluation guide","320","22","2.33","Live Semrush US desktop 2026-08-04","Large website cluster term with proof and internal linking value","Build in first 60 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
"15","Email","home builder email marketing","Informational","Consideration","Nurture guide","320","13","0.00","Live Semrush US desktop 2026-08-04","Low difficulty channel topic suited to long builder sales cycles","Build in first 90 days","","","","","","","","","Not tracked in the August 17 Moz export; retain the Semrush demand and difficulty decision."
