client,website,commission,role,start_date,division,status,note
Bar Crawl USA,https://barcrawlusa.com,n/a,Account Manager,2/16/2026,Digital,copied from August,Retainer note 450 x 50 percent = 225; bonus up to 300
Omega Landscaping,https://omegalandscapecorp.com,200,Account Manager,3/1/2026,360,copied from August,Local SEO and GBP
Kimberly James Bridal Boutique,https://kimberlyjamesbridal.com,300,Account Manager,3/12/2026,Digital,copied from August,Google Search and Meta
Fresh Blends,https://freshblends.com,500,Account Manager,3/23/2026,360,copied from August,Separated from Replenish / 7-Eleven
Onsite Concrete & Landscape,https://onsiteconcretelandscape.com,350,Account Manager,3/12/2026,360,copied from August,Paid media and local search
Fagan Painting,https://faganpainting.com,300,Meta Ads / Lead Tracking,6/29/2026,Digital,copied from August,Paid media shut down; organic and lead routing only
Omega Landscaping,https://omegalandscapecorp.com,300,Google Ads Manager,6/1/2026,360,copied from August,Google Ads lane separate from local SEO
Mike / Revive Systems,https://www.revive-systems.com,200,Funnel Optimization,6/22/2026,Digital,copied from August,Organic readiness and AEO/GEO
Bridge / Ecosystem for Tori,,1300,Software MVP Phase 2 / Phase 3,6/1/2026,Digital,copied from August confirm or zero,Phase 2 only; Phase 3 excluded until payment
VA Claims,https://vaclaimsedge.com,500,Software / Web Design,6/16/2026,Digital,copied from August,Phase 3 product lane
Tags 2 Go LLC,https://tags2go.pro,300,Google Ads Manager,8/11/2026,360,copied from August confirm or zero,August 24 cancellation directive
Jeanne Walcroft Legacy Foundation,https://jeanne-walcroft-legacy-foundation.netlify.app,200,Legacy Landing Page Development,7/20/2026,360,copied from August confirm or zero,August completion
Nexla,https://nexla.com,500,Google Ads / Account Management,8/19/2026,360,copied from August provisional,Month 2 of 3-month engagement
Bar Crawl USA Halloween,https://barcrawlusa.com,400,10 Halloween Landing Pages,8/10/2026,Digital,copied from August confirm or zero,August one-time page build
Deborah Mara Real Estate,https://deborah.azldigital.com/,750,Paid Ads Account Manager,9/1/2026,Digital,new September,50 percent of 1500 monthly quote; prepaid 6 months
The GT Clinic,,450,Account Manager,9/1/2026,360,new September expected,50 percent of 900; unsigned as of 2026-09-02
Puttery NYC,,650,Account Manager,8/1/2026,Digital,new September,Dillon stated September amount
TOTAL EXPECTED COMMISSIONS,,7200,,,,,"August 5350 plus Deb 750, GT Clinic 450, Puttery 650"
Digital subtotal,,4400,,,,,
360 subtotal,,2800,,,,,
