Level,Working Title,Primary Query,Intent,Format,Parent,Primary CTA,Build Window,Status
Pillar,Custom Home Builder Marketing: A Practical System for More Qualified Leads,custom home builder marketing,Commercial investigation,Authority page,Root,Book a builder marketing strategy call,Now,Complete draft
Subpillar,Builder Marketing Strategy and Positioning,home builder marketing plan,Informational,Guide,Authority pillar,Download the 90-day planning worksheet,Days 31-60,Architecture complete
Subpillar,SEO Local Search and AI Visibility for Builders,SEO for custom home builders,Commercial investigation,Guide,Authority pillar,Request a visibility review,Days 1-30,Architecture complete
Subpillar,Builder Website Conversion Proof and Measurement,custom home builder website,Commercial investigation,Guide,Authority pillar,Request a website clarity review,Days 1-30,Architecture complete
Article,How Custom Home Buyers Choose a Builder,how custom home buyers choose a builder,Informational,Article,Strategy subpillar,Use the buyer-decision checklist,Days 61-90,Brief ready
Article,A Practical Marketing Plan for Custom Home Builders,marketing plan for custom home builders,Informational,Article,Strategy subpillar,Download the plan template,Days 31-60,Brief ready
Article,Why Referrals Alone Eventually Stall Builder Growth,beyond referrals home builder marketing,Informational,Point-of-view article,Strategy subpillar,Map the next growth channel,Days 61-90,Brief ready
Article,SEO for Custom Home Builders: The Visibility Blueprint,SEO for custom home builders,Commercial investigation,Article,Visibility subpillar,Request a visibility review,Days 31-60,Brief ready
Article,Local SEO for Home Builders: Markets Reviews and Proof,local SEO for home builders,Commercial investigation,Article,Visibility subpillar,Download the local-search checklist,Days 31-60,Brief ready
Article,How Custom Home Builders Can Appear in AI Search,AI search optimization for home builders,Commercial investigation,Article,Visibility subpillar,Request an AI visibility baseline,Days 31-60,Brief ready
Article,What a Custom Home Builder Website Must Include,custom home builder website,Commercial investigation,Article,Conversion subpillar,Request a website clarity review,Now,Complete draft
Article,5 Articles Every Custom Home Builder Blog Needs,home builder blog,Informational,Article,Conversion subpillar,Download the editorial starter map,Now,Complete draft
Article,Lead Qualification and Follow-Up for High-Consideration Builds,qualified leads for custom home builders,Commercial investigation,Article,Conversion subpillar,Map the lead handoff,Days 61-90,Brief ready
FAQ Hub,Custom Home Builder Marketing Questions,custom home builder marketing FAQ,Informational,FAQ collection,Authority pillar,Ask BigOrange a question,Now,Complete draft
Case Study Hub,Home Builder Marketing Results,home builder marketing case study,Commercial investigation,Case-study collection,Authority pillar,See how the work was done,Days 61-90,Requires approved client proof
Download,90-Day Custom Home Builder Marketing Planner,home builder marketing plan template,Informational,Worksheet,Strategy subpillar,Download planner,Days 31-60,Concept complete
Download,Builder Website Trust Checklist,home builder website checklist,Informational,Checklist,Conversion subpillar,Download checklist,Days 1-30,Concept complete
Download,Local and AI Visibility Baseline Worksheet,AI search optimization for home builders,Informational,Worksheet,Visibility subpillar,Download worksheet,Days 31-60,Concept complete
Webinar,From Referral-Dependent to Search-Visible,home builder lead generation,Commercial investigation,Webinar,Authority pillar,Register for session,Phase 2,Concept complete
