"Company","First seen","Channel","Attributed contacts","Recovered contacts","Confidence","Evidence","Closed won deals","Closed won revenue","Open deals","Open pipeline","Deal detail"
"Weissman","2026-02-18","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","1","54000","0","0","WON: Weissman - SmartCare 2026 Optimization ($54,000)"
"Bedrock Landscaping","2026-03-27","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","1","15000","OPEN: RPM xConstruction - SmartCare Services 2026 ($15,000; Proposal/Quote)"
"Align","2026-05-15","Organic Social","1","1","Medium — latest-touch recovery","latest source: SOCIAL_MEDIA · latest source detail: LinkedIn · HubSpot last referrer: https://www.linkedin.com/","0","0","0","0",""
"Align HCM","2026-04-14","Organic Search + Organic Social","2","1","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: MSN | HubSpot last referrer: https://www.linkedin.com/","0","0","0","0",""
"Capstone Home Loans","2026-01-28","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"Eerly","2026-03-18","Organic Social","1","0","High — HubSpot native source","native original source: SOCIAL_MEDIA · original source detail: LinkedIn · HubSpot first referrer: https://www.linkedin.com/","0","0","0","0",""
"Focus Cloud","2026-02-03","Organic Social","1","0","High — HubSpot native source","native original source: SOCIAL_MEDIA · original source detail: LinkedIn · HubSpot first referrer: https://www.linkedin.com/","0","0","0","0",""
"Haisla","2026-07-24","AI Search & Assistants","1","0","High — HubSpot native source","native original source: AI_REFERRALS · original source detail: chatgpt.com · first referrer: https://chatgpt.com/","0","0","1","0","OPEN: Haisla - SmartRescue ($0; Expressing Interest)"
"HR.com","2026-02-24","Organic Social","1","0","High — HubSpot native source","native original source: SOCIAL_MEDIA · original source detail: LinkedIn · HubSpot first referrer: https://www.linkedin.com/","0","0","0","0",""
"Kaiser Permanente","2026-04-02","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"Klaarhq","2026-01-13","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"Koroseal","2026-01-28","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"Lowenstein Sandler","2026-05-19","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"Organization not captured","2026-02-16","AI Search & Assistants + Organic Search","13","5","High — HubSpot native source","native original source: AI_REFERRALS · original source detail: chatgpt.com · HubSpot first referrer: https://chatgpt.com/ | native original source: ORGANIC_SEARCH · original source detail: BING · HubSpot first referrer: https://www.bing.com/ | original source detail: docs.google.com · original source detail: docs.google.com/ · HubSpot first referrer: https://docs.google.com/ | native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"OrgChart","2026-02-27","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"Parrys Pizza","2026-07-20","AI Search & Assistants","1","1","High — deterministic recovery","first referrer: https://chatgpt.com/ · first UTM source: chatgpt.com","0","0","1","0","OPEN: Parrys Pizza - Managed Payroll ($0; Expressing Interest)"
"ROCKCREST","2026-06-18","Organic Social","1","0","High — HubSpot native source","native original source: SOCIAL_MEDIA · original source detail: LinkedIn · HubSpot first referrer: https://www.linkedin.com/","0","0","0","0",""
"summitWFM","2026-02-12","Organic Social","1","0","High — HubSpot native source","native original source: SOCIAL_MEDIA · original source detail: LinkedIn · HubSpot first referrer: https://www.linkedin.com/","0","0","0","0",""
"Superior Propane","2026-03-11","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: MSN · latest source: ORGANIC_SEARCH","0","0","0","0",""
"Tahoetransportation","2026-03-30","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"Udemy","2026-04-02","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"Venero Capital Advisors","2026-02-18","Organic Social","1","0","High — HubSpot native source","native original source: SOCIAL_MEDIA · original source detail: LinkedIn · HubSpot first referrer: https://www.linkedin.com/","0","0","0","0",""
"VITG","2026-04-02","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: GOOGLE · HubSpot first referrer: https://www.google.com/","0","0","0","0",""
"Walsh","2026-01-09","Organic Search","1","0","High — HubSpot native source","native original source: ORGANIC_SEARCH · original source detail: BING · HubSpot first referrer: https://www.bing.com/","0","0","0","0",""
