rank,business,phone,official_url,demo_url,pitch_scope,source_phone_match,local_qa,deploy_preview_qa,relationship_clearance,call_qa_ready,mail_ready,critical_note
1,"H&G Sign Company","215-425-7753","http://www.hgsign.com/contact/","https://philly-25-redesigns-batch-4.netlify.app/sites/h-g-sign-company/","rebuild","PASS","PASS","PASS","CLEAR","READY","HOLD","Use the active HTTP contact page; HTTPS is broken."
2,"The New Pennsburg Diner","215-679-2190","https://pennsburgdiner.com/","https://radar-unslop-20260819.netlify.app/sites/new-pennsburg-diner/","rebuild","PASS","PASS","PASS","CLEAR","READY","HOLD","Current first-party identity and phone match."
3,"Dunryte Electric, Inc.","267-784-6969","https://dunryteelectric.com/","https://philly-25-redesigns-batch-4.netlify.app/sites/dunryte-electric-inc/","rebuild","PASS","PASS","PASS","CLEAR","READY","HOLD","Current first-party identity and phone match."
4,"Mayfair Fence","215-676-1120","https://www.mayfairfence.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/mayfair-fence/","rebuild","PASS","PASS","PASS","CLEAR_WITH_UNSENT_DRAFT","READY","HOLD","An unsent Gmail draft exists; no sent outreach was found."
5,"Peking Gourmet","610-326-2332","http://pekinggourmetpottstown.com/","https://radar-unslop-20260819.netlify.app/sites/peking-gourmet/","rebuild","PASS","PASS","PASS","CLEAR","READY","HOLD","Official site is HTTP-only; identity and phone match."
6,"Metalmorphose Ironworks","484-919-4548","https://metalmorphoseironworks.com/","https://radar-unslop-20260819.netlify.app/sites/metalmorphose-iron-studio/","rebuild","PASS","PASS","PASS","CLEAR","READY","HOLD","Current first-party identity and phone match."
7,"E & E Cleaning Services","267-593-0603","https://www.eandecleaning.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/e-and-e-cleaning/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization, not a broken-site replacement."
8,"Philly Medical and Rehab Associates","215-535-5616","https://www.mypmra.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/philly-medical-and-rehab-associates/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
9,"Martha's Sophisticated Shine","267-694-9410","https://sophisticatedshine.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/marthas-sophisticated-shine/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
10,"PT in Philly","267-201-0986","https://www.ptinphilly.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/pt-in-philly/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
11,"Bustleton Services, Inc","215-447-3140","https://www.bustletonservices.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/bustleton-services/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
12,"K.A.M. Sheet Metal & Fab","267-608-6287","https://www.kamsheetmetal.com/","https://philly-25-redesigns-batch-4.netlify.app/sites/k-a-m-sheet-metal-fab/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
13,"Young's Electrical Services Inc.","215-962-3904","https://www.youngselectricalservicesinc.com/","https://philly-25-redesigns-batch-4.netlify.app/sites/young-s-electrical-services-inc/","optimization_only","PASS","PASS","PASS","CLEAR","READY","HOLD","Current site already has quote and service CTAs; use a focused visual and conversion angle only."
14,"Patriot Fence & Ironworks, LLC","215-943-3631","https://www.patriotfenceandironworks.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/patriot-fence-and-ironworks/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
15,"Mayfair Family Chiropractic Center","215-332-8686","https://www.mayfairchiro.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/mayfair-family-chiropractic/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
16,"Borden Heating & Cooling, Inc.","610-325-9966","https://bordenco.com/","https://philly-25-redesigns-batch-4.netlify.app/sites/borden-heating-cooling-inc/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
17,"Brandon Electric, Inc.","215-722-2988","https://brandonelectricpa.com/","https://philly-25-redesigns-batch-4.netlify.app/sites/brandon-electric-inc/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
18,"Centrum Mechanical Services","610-583-9800","https://centrummechanical.com/","https://philly-25-redesigns-batch-4.netlify.app/sites/centrum-mechanical-services/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
19,"Rufus Chiropractic and Wellness","215-673-1113","https://www.rufuschiropractic.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/rufus-chiropractic-and-wellness/","optimization_only","PASS","PASS","PASS","CLEAR","READY","HOLD","Current site has appointment, service, and patient flows; do not pitch a full rebuild."
20,"Cleaned by D&D, LLC","215-380-4568","https://www.cleanedbydd.com/","https://philly-25-redesigns-batch-4.netlify.app/sites/cleaned-by-d-d-llc/","rebuild","PASS","PASS","PASS","CLEAR","READY","HOLD","Replacement for Bill Frusco; exact current phone verified and visible copy/presentation defects confirmed."
21,"JDV Electric, LLC","610-364-5099","https://www.jdvelectric.com/","https://philly-25-redesigns-batch-4.netlify.app/sites/jdv-electric-llc/","optimization_only","PASS","PASS","PASS","CLEAR","READY","HOLD","Current site is conversion-rich; call only with a narrow evidence-led optimization angle."
22,"Charles Schillinger Company","215-638-7200","https://cschillinger.com/","https://philly-25-redesigns-batch-4.netlify.app/sites/charles-schillinger-company/","optimization","PASS","PASS","PASS","CLEAR","READY","HOLD","Pitch conversion and presentation optimization."
23,"Lawrence Kassan Podiatry","215-336-4151","https://www.philadelphiafeet.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/lawrence-kassan-podiatry/","rebuild","PASS","PASS","PASS","CLEAR","READY","HOLD","Current site has wrong-topic pregnancy copy and web.archive.org appointment links."
24,"RHI Construction Inc.","267-872-3318","https://www.rhihomes.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/rhi-construction/","optimization_only","PASS","PASS","PASS","CLEAR","READY","HOLD","Current site is content-rich; use copy and hierarchy defects, not a broken-site claim."
25,"SCRC Accident & Injury Center","267-286-0934","https://springcrc.com/","https://philly-25-homepage-concepts-batch-2.netlify.app/scrc-accident-and-injury-center/","rebuild","PASS","PASS","PASS","CLEAR","READY","HOLD","Current page repeats major headings/content and has a thin appointment flow."
