"slug","business","currentBatch","sourceClass","qaReady","mailReady","publicationState","siteUrl","sourceUrl","route","occurrenceCount","sourceBatches","sourceLocator"
"academy-chiropractic-center","Academy Chiropractic Center","Philadelphia W31 verified 25","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/academy-chiropractic-center/","","/sites/academy-chiropractic-center/","2","Philadelphia Batch 2 | Philadelphia W31 verified 25","C:\Users\dillo\Documents\Codex\2026-07-29\monitor-this-session-on-cursor-i\work\pr226-site-factory\02_Campaigns\AI Site Builder Outreach Engine\batches\phl-2026-w31\sites\academy-chiropractic-center"
"acupuncture-medical-practice","Acupuncture Medical Practice","Philadelphia W31 verified 25","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/acupuncture-medical-practice/","","/sites/acupuncture-medical-practice/","2","Philadelphia Batch 2 | Philadelphia W31 verified 25","C:\Users\dillo\Documents\Codex\2026-07-29\monitor-this-session-on-cursor-i\work\pr226-site-factory\02_Campaigns\AI Site Builder Outreach Engine\batches\phl-2026-w31\sites\acupuncture-medical-practice"
"advanced-commercial-interior-inc","Advanced Commercial Interior, Inc.","Philadelphia Batch 3","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/advanced-commercial-interior-inc/","1","Philadelphia Batch 3","C:\Users\dillo\Documents\Codex\2026-08-04\build-the-next-25-websites-based\batch-phl-2026-08-04-b3\sites\advanced-commercial-interior-inc"
"agnes-edmunds-bridal-formals","Agnes Edmunds Bridal & Formals","radar-next15-20260810-050919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/agnes-edmunds-bridal-formals/","1","radar-next15-20260810-050919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260810-050919\sites\agnes-edmunds-bridal-formals"
"all-phase-electric-co","All Phase Electric Co.","Philadelphia Batch 4","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/all-phase-electric-co/","","/sites/all-phase-electric-co/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\all-phase-electric-co"
"al-tacos-locos","Al Tacos Locos","radar-next15-20260810-110919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/al-tacos-locos/","1","radar-next15-20260810-110919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260810-110919\sites\al-tacos-locos"
"always-dental-care","Always Dental Care","phl-2026-w34","week-34-current-review","ready","hold","qa-ready","https://phl-2026-w34.netlify.app/sites/always-dental-care/","https://www.alwaysdentalcare.com/","/sites/always-dental-care/","1","phl-2026-w34","git://dillonmohr8777/dillon-os/origin-pr-283/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w34/manifest.csv"
"a-m-electric-inc","A.M. Electric, Inc.","Philadelphia Batch 4","historical-curated-active","ready","hold","publication-ready","https://momentum-prospect-radar-next20-2026-08-11.netlify.app/sites/a-m-electric-inc/","","/sites/a-m-electric-inc/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\a-m-electric-inc"
"andorra-family-dentistry","Andorra Family Dentistry","phl-2026-w33","week-33-current-review","ready","hold","qa-ready","https://phl-2026-w33.netlify.app/sites/andorra-family-dentistry/","https://www.andorradental.com/","/sites/andorra-family-dentistry/","1","phl-2026-w33","git://dillonmohr8777/dillon-os/origin-pr-281/02_Campaigns/AI Site Builder Outreach Engine/batches/phl-2026-w33/manifest.csv"
"anthony-gueriera-insurance","Anthony Gueriera Jr. Insurance Agency LLC","Cinematic builds 169-178","historical-held-or-removed","hold","hold","removed-3d-cinematic","","","/sites/anthony-gueriera-insurance/","1","Cinematic builds 169-178","C:\Users\dillo\Documents\Codex\work\prospect-radar-all-198-20260812\source-next10\02_Campaigns\AI Site Builder Outreach Engine\batches\prospect-3d-scroll-next10-2026-08-10\sites\anthony-gueriera-insurance"
"anton-s-plumbing-heating-inc","Anton's Plumbing & Heating Inc.","Philadelphia Batch 3","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/anton-s-plumbing-heating-inc/","1","Philadelphia Batch 3","C:\Users\dillo\Documents\Codex\2026-08-04\build-the-next-25-websites-based\batch-phl-2026-08-04-b3\sites\anton-s-plumbing-heating-inc"
"a-positive-response-plumbing-llc","A POSITIVE RESPONSE PLUMBING, LLC.","Philadelphia Batch 3","historical-held-or-removed","hold","hold","held-reconstructed-logo","","","/sites/a-positive-response-plumbing-llc/","1","Philadelphia Batch 3","C:\Users\dillo\Documents\Codex\2026-08-04\build-the-next-25-websites-based\batch-phl-2026-08-04-b3\sites\a-positive-response-plumbing-llc"
"apr-supply-company","APR Supply Company","radar-next15-20260810-050919","historical-held-or-removed","hold","hold","held-generic-generated-concept","","","/sites/apr-supply-company/","1","radar-next15-20260810-050919","C:\Users\dillo\Documents\Codex\projects\dillon-os\02_Campaigns\AI Site Builder Outreach Engine\batches\radar-next15-20260810-050919\sites\apr-supply-company"
"apt-heating-and-cooling","APT Heating and Cooling","Philadelphia Batch 4","historical-held-or-removed","hold","hold","held-no-proper-logo","","","/sites/apt-heating-and-cooling/","1","Philadelphia Batch 4","C:\Users\dillo\Documents\Codex\2026-08-04\monitor-the-session-learn-everything-from\batch-phl-2026-08-04-b4\sites\apt-heating-and-cooling"
"art-city-vets","Art City Vets & Urgent Care","Telegram 3D Next 10","historical-held-or-removed","hold","hold","removed-3d-cinematic","","","/sites/art-city-vets/","1","Telegram 3D Next 10","C:\Users\dillo\Documents\Codex\work\prospect-radar-ready-80-20260812\dist\sites\art-city-vets"
