client,work_type,claim,evidence_type,evidence_source,metric,metric_value,date_range,verified_status,strength
PORTFOLIO,AI search visibility,"AI shaped queries rank better than typed keywords and convert at near zero, the signature of a machine read",measured,"Google Search Console Search Analytics API, pulled 2026-09-15 plus query shape classification",persona prompt CTR vs keyword CTR,0.00% at avg pos 13.6 vs 0.52% at avg pos 28.3,2026-01-13 to 2026-09-12,"verified, source attribution is an inference from query shape",strong
PORTFOLIO,AI search visibility,"53,392 page and keyword pairs classified across 8 properties",measured,"Google Search Console Search Analytics API, pulled 2026-09-15",corpus size,"53,392 pairs / 5,200 AI shaped",2026-01-13 to 2026-09-12,verified,strong
align-hcm,organic SEO and content,distinct ranking keywords in a 24 day window,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",distinct ranking keywords,"2,651",2026-07-27 to 2026-08-19,"verified, single window, no growth claim made",strong
align-hcm,organic SEO and content,keywords in top 10 in a 24 day window,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",keywords in top 10,"1,089",2026-07-27 to 2026-08-19,"verified, single window, no growth claim made",strong
align-hcm,organic SEO and content,keywords in top 3 in a 24 day window,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",keywords in top 3,329,2026-07-27 to 2026-08-19,"verified, single window, no growth claim made",strong
align-hcm,organic SEO and content,page and keyword pairs in a 24 day window,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",page and keyword pairs,"3,385",2026-07-27 to 2026-08-19,"verified, single window, no growth claim made",strong
align-hcm,organic SEO and content,share of impressions from AI shaped queries in a 24 day window,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",share of impressions from AI shaped queries,29.1%,2026-07-27 to 2026-08-19,"verified, single window, no growth claim made",strong
align-hcm,content,"one buyer guide ranks for 352 queries, 74 in the top 3",measured,"Google Search Console Search Analytics API, pulled 2026-09-15",single page keywords,"352 keywords / 74 top 3 / 3,653 impressions",2026-07-27 to 2026-08-19,verified,strong
bar-crawl-usa,organic SEO,keywords in top 10 grew +121% year over year,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",keywords in top 10,522 -> 1152 (+121%),Aug 2025 vs Aug 2026,"verified, matched calendar months, full baseline",strong
bar-crawl-usa,organic SEO,keywords in top 3 grew +73% year over year,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",keywords in top 3,180 -> 312 (+73%),Aug 2025 vs Aug 2026,"verified, matched calendar months, full baseline",strong
bar-crawl-usa,organic SEO,keywords at position 1 grew +62% year over year,measured,"Google Search Console Search Analytics API, pulled 2026-09-15",keywords at position 1,99 -> 160 (+62%),Aug 2025 vs Aug 2026,"verified, matched calendar months, full baseline",strong
