client_id,client,priority,state,recommended_owner,next_action,acceptance,source,source_date,jev_role,execution_state
momentum-360,Momentum 360 / Digital,P1,Partial attribution / operational proof,"Jason, Nick, Dillon",Reconcile source event → CRM record → owner → next action; reuse existing lead-agent match-back work,"One deduplicated real inquiry with campaign, CRM ID, owner and follow-up receipt",https://momentum3d.slack.com/archives/C05R2B1ULF6,2026-09-18,Route sanitized exceptions; do arithmetic and dedupe in code,DRAFT_REVIEW_ONLY
kimberly-james-bridal,Kimberly James Bridal,P1,Google paused; Meta test reported,Dillon / account manager,"Match five reported Sep 8–14 Meta leads to contacts, booked appointments and sales outcomes; resolve address/hours schema",Five records reconciled without assuming five appointments,https://momentum3d.slack.com/archives/C0530MVK371,2026-09-15,Classify non-sensitive intent only,DRAFT_REVIEW_ONLY
bok-law-firm,BOK Law Firm,P2,No current Slack evidence,Dillon,Reuse existing September blog drafts and standing BOK workflow; verify current editorial approval and actual sent/published receipt,Approved article and exact publication or delivery receipt,registry/clients.json and CLIENT.md,2026-09-20,Content rubric candidate; no legal conclusions,DRAFT_REVIEW_ONLY
fagan-painting,Fagan Painting,P1,Form replacement reported; live QA challenged,Phil / Dillon support,Verify replaced estimates form after cache correction; read-only browser hit SiteGround challenge,Rendered form plus separately authorized delivery test receipt,https://momentum3d.slack.com/archives/C0AMD2E444E,2026-09-17,Brief completeness only; ads stay off,DRAFT_REVIEW_ONLY
pro-fence-deck,Pro Fence & Deck,P1,Performance concern; improvement reported,Dillon / site owner,Measure current mobile speed and inquiry path before further animation work,Before/after timings and working CTA/form receipt,https://momentum3d.slack.com/archives/C09DEEBMW0J,2026-09-14,Triage symptoms; deterministic page checks,DRAFT_REVIEW_ONLY
replenish-7-eleven,Replenish / 7-Eleven,P1,Shared account; reported ended campaigns,Dillon / Mia / Sean,Resolve current client plan and campaign expiration; inspect only Replenish campaigns in 6275014654,Campaign-level status and approved restart decision; 70-store plan remains pipeline,https://momentum3d.slack.com/archives/C0A8XE76XGR,2026-09-18,Campaign-bound classification after routing,DRAFT_REVIEW_ONLY
fresh-blends-kwik-trip,Fresh Blends / Kwik Trip,P2,Pause until October reported,Dillon / account manager,Keep Fresh campaign partition separate; prepare October readiness without restarting,"Exact Fresh campaign IDs, end dates and client approval",https://momentum3d.slack.com/archives/C0A8XE76XGR,2026-09-18,Dormant until approved input refresh,DRAFT_REVIEW_ONLY
nkcdc,NKCDC,P2,Paused phase,Account manager / Anthony,Retain hold; confirm next paid phase before creating new deliverables,Current approved phase and acceptance criteria,https://momentum3d.slack.com/archives/C0AQB2TF1AB,2026-09-03,No live campaign action,DRAFT_REVIEW_ONLY
zen-spa-tropicana,Zen Spa / Tropicana,HOLD,Inactive registry,Dillon,Keep inactive and separate from other wellness clients,Explicit renewed scope before activation,https://momentum3d.slack.com/archives/C0B3HBCR8AZ,2026-09-20,No rollout,DRAFT_REVIEW_ONLY
hope-wellness-center,Hope Wellness Center,P1,Site/video completion reported; acceptance unverified,Account manager / production,Reconcile Sep 4 completed-video note and Sep 14 missing-material recap; collect exact delivered files and client acceptance,"Accessible final videos, site readback and acceptance",https://momentum3d.slack.com/archives/C092MVBN8SV,2026-09-14,Evidence completeness; no patient data,DRAFT_REVIEW_ONLY
omega-landscaping,Omega Landscaping,P1,Google serving; lead outcomes incomplete,Dillon / John / Sean,"Use 100-row review, skip 20 already-excluded rows across trial; verify unexcluded exact competitor candidates and CRM outcomes","Current term status, qualified lead outcomes and approved exact change",https://momentum3d.slack.com/archives/C09DP3AMNQ7,2026-09-17,LIVE trial completed; advisory only,DRAFT_REVIEW_ONLY
shadow-heating-cooling,Shadow Heating & Cooling,HOLD,Channel archived; paid-media off record,Dillon,Reconcile active registry flag with archive/off state before any reactivation,Current owner decision and correct account route,https://momentum3d.slack.com/archives/C06TQALM4JF,2026-09-20,No rollout,DRAFT_REVIEW_ONLY
va-claims-edge,VA Claims Edge,P1,Walkthrough rescheduling; acceptance pending,Dillon / Obaid / David,"Prepare acceptance walkthrough and verify recording, email delivery/DNS evidence; requested next Friday is Sep 25",Accepted demo showing each required step; no invented customer success,https://momentum3d.slack.com/archives/C0AU6GMGY73,2026-09-18,Technical rubric only; no claims eligibility scoring,DRAFT_REVIEW_ONLY
bercos-popcorn,Bercos Popcorn,P2,Follow-up reported; phase status unclear,Dillon / Melissa,Reconcile latest direct-client phase approval before resuming Phase 2,Signed/approved scope and current delivery checkpoint,https://momentum3d.slack.com/archives/C04HXSVN2CS,2026-08-24,Scope completeness only,DRAFT_REVIEW_ONLY
ami-cleaning,AMI Cleaning,HOLD,Inactive registry,Dillon,Preserve inactive state,Renewed authorization and exact account identity,registry/clients.json and CLIENT.md,2026-09-20,No rollout,DRAFT_REVIEW_ONLY
cindy-may-christmas,Cindy May / Mrs. Christmas,P2,Registry route; no recent Slack match,Dillon,Recover latest direct-client checkpoint before seasonal production,"Current scope, content calendar and approval receipt",registry/clients.json and CLIENT.md,2026-09-20,No fabricated current brief,DRAFT_REVIEW_ONLY
bar-crawl-usa,Bar Crawl USA,P1,September commercial approval unresolved,Dillon / Mac,Reuse existing 10-new-page and 15-optimization proposals; reconcile which package is approved before more production,"Approved package, fee and page list; measure ticket sales separately from search CTR",https://momentum3d.slack.com/archives/C0AEGE1V5KR,2026-09-17,Score brief completeness after approved scope,DRAFT_REVIEW_ONLY
bridge-software,Bridge Software,P2,Milestones reported complete; acceptance check needed,Dillon / Jesse / delivery,Verify latest working backend/demo against already completed milestones,Working deployed demo and client acceptance; avoid duplicating handled fix,https://momentum3d.slack.com/archives/C0BGWRK03B2,2026-09-03,Acceptance evidence triage,DRAFT_REVIEW_ONLY
onsite-concrete-landscape,Onsite Concrete & Landscape,P0,LIVE mismatch: PMax enabled after pause request,Dillon / Grace,Review pause of PMax 22454241769 in customer 1033715894; both Search campaigns already paused,Approved exact change plus live readback; inspect later exceptions/change history,https://momentum3d.slack.com/archives/C087GM7SEJF,2026-09-20,Deterministic state comparison; no autonomous write,DRAFT_REVIEW_ONLY
revive-systems,Revive Systems / Fitness,P2,Reactivation and business content requested,Beth / Dillon,Match former-member reactivation brief to approved audience and business-led content; verify LSA migration state,"Approved audience, drafts and delivery/lead receipts",https://momentum3d.slack.com/archives/C0B9V5QDGJH,2026-09-11,Draft triage; no automatic outreach,DRAFT_REVIEW_ONLY
bigorange-marketing,BigOrange Marketing,SEPARATE,Separate client/employer relationship,Dillon,Preserve separate project/access and ownership; do not enroll in Momentum by inference,Explicit portfolio scope if cross-agency work is wanted,registry/clients.json and CLIENT.md,2026-09-20,Excluded from Momentum automation,DRAFT_REVIEW_ONLY
pritzker-law-group,Pritzker Law Group,P1,Relationship improving; approval-state mismatch,Jenny / Madison,Reconcile first-three verbal approval with Notion; apply Sep 18 wording edits and calendar coordination,Final approved versions and exact schedule readback,https://momentum3d.slack.com/archives/C0BQV7N570T,2026-09-18,Version/approval evidence triage; no autonomous legal copy,DRAFT_REVIEW_ONLY
tags-2-go,Tags 2 Go,HOLD,Archived channel but active registry flag,Dillon,Resolve lifecycle status and historical Ads restriction before any paid-media work,Corrected owner-approved status; no implied restart,https://momentum3d.slack.com/archives/C0BMDSVT4JG,2026-09-20,No rollout,DRAFT_REVIEW_ONLY
nexla,Nexla,P1,Search optimization reported; accepted conversion proof missing,Dillon / Sean,"Reuse updated GTM version-61 note, verify one accepted demo reaches CRM and Ads before bid expansion; retain plausible MCP intent","Same accepted event across form, CRM and measurement; published config alone insufficient",https://momentum3d.slack.com/archives/C0BRY1H1L9W,2026-09-18,LIVE 100-row trial completed; MCP ambiguity escalated,DRAFT_REVIEW_ONLY
puttery-nyc,Puttery NYC,P1,Deposit/access incomplete in latest discussion,Dillon / Jesse / Mac,Reconcile deposit and allowed account access; keep Look Alive as separate brand,"Payment receipt, confirmed scope and exact account map",https://momentum3d.slack.com/archives/C0BT1P1PGJF,2026-09-17,No campaign activation,DRAFT_REVIEW_ONLY
