priority,url,wp_id,wp_type,title,cluster,template,lane,moz_keywords,moz_best_rank,moz_best_keyword,moz_keyword_list,index_robots,follow_robots,in_sitemap,health_flags,deep_matrix,modified,yoast_title,seo,aeo,geo,client_template
P0,https://bigorange.marketing/,3709,page,Home,local-cincinnati,deep-matrix-owner,rest-of-site,2,9,cincinnati marketing agency,cincinnati marketing agency|inbound marketing cincinnati,index,follow,True,homepage-stategic-typo,True,2026-08-20T12:32:53,Top Digital Marketing Services for MSPs and Builders - BigOrange.Marketing,Fix Stategic in meta/OG/schema. Align title/H1/meta to Cincinnati multi-vertical router. 8/50 images missing alt. Own city terms only; builder+Cincinnati stays on hub.,Answer: Cincinnati agency that routes to vertical hubs. Define local specialist vs directory. 5 FAQs on industries/geography. Speakable: What is BigOrange Marketing?,Entity: BigOrange Marketing Cincinnati. Repair Organization schema after typo. Homepage is router not fifth hub. No ranking promises.,Local multi-vertical router homepage
P0,https://bigorange.marketing/ai-search-optimization-services/,5067,page,AI Search Optimization Services,ai-search,deep-matrix-owner,commercial-zero,0,,,,index,nofollow,True,four-h1s|index-nofollow|lead-promise-meta|ranking-or-lead-promise-meta,True,2026-04-23T12:59:57,AI Search Optimization Services - AI SEO Services - BigOrange.Marketing,P0 health: 4 H1s + index nofollow (WP 5067). Choose index follow if real service else noindex. One H1. Remove outrank/lead meta. Do not twin MSP hub AI H1.,Answer: what AI search optimization is (answer-ready pages not citation guarantees). Define AEO vs SEO vs GEO. 5 FAQs including explicit no-citation promise. Speakable: What is AI search optimization?,This Sept 3 package is the method proof once blocks are live. Mention robots search-vs-training policy as policy not a lever. No ranking promises.,AEO service page (fix before showing as POC)
P0,https://bigorange.marketing/best-msp-blog-list-big-orangemarketing/,2913,post,On the List: BOM Named to Best Managed Service Provider (MSP) Blog List,msp-it,deep-matrix-owner,rest-of-site,1,3,Best MSP Blog list,Best MSP Blog list,index,follow,True,,True,2023-10-23T15:14:05,(MSP) Blog List: BOM Named to Best Managed Service Provider,Mobile dropped (>-19). Cite live publisher+date or 301 into resources. Not an MSP hub. Fix awkward Yoast title.,Answer: third-party list citation + link to resource library. Define MSP blog vs agency blog. 5 FAQs. Speakable: What is the Best MSP Blog list referenced by BigOrange?,Best belongs to the cited list only. BOM is a marketing agency not an MSP. No list = no credential claim.,Third-party list/award citation page
P0,https://bigorange.marketing/manufacturing-storybrand-website-examples-to-inspire-you/,2511,post,5 Manufacturing StoryBrand Website Examples to Inspire You,manufacturing,deep-matrix-owner,rest-of-site,1,3,manufacturing storybrand websites,manufacturing storybrand websites,index,follow,True,,True,2024-07-11T12:21:17,Manufacturing StoryBrand Website Examples - BigOrange.Marketing,Protect declining position-3 term. Keep manufacturing+StoryBrand modifier in H1. Do not retitle as marketing for manufacturers (hub job). Refresh or date the five examples.,Answer: manufacturing StoryBrand websites. Define industrial-buyer variant. 5 FAQs. Speakable: What are manufacturing StoryBrand website examples?,Entity: manufacturers + StoryBrand + BOM practice. Permission/dates on examples. Hub owns marketing for manufacturers (201-500).,Vertical modifier on an examples gallery
P0,https://bigorange.marketing/marketing-agency-for-builders/,1381,page,Marketing Agency for Builders,home-builder,deep-matrix-owner,builder-pilot,17,1,marketing agency for builders,agency for home builders|digital home builder marketing agency|home builder ad agency cincinnati|home builder marketing agency|homebuilder marketing agency|marketing agency for builders|marketing agency for home builders|ad agency for home builders|home builder digital marketing agency|Home Builder Marketing Company|homebuilder marketing company|homebuilder brand agency|homebuilder marketing firm|digital marketing services for builders|custom home builder marketing agency|builder advertising and marketing|home builder marketing firm,index,follow,True,,True,2026-03-09T10:23:23,Marketing Agency for Builders - BigOrange.Marketing,Keep as sole builder commercial owner (WP 1381). Rewrite lead-promise meta. One H1. No CONSULT-01/PPC-01. Reslug satellite /home-builder-marketing-agency/. Aug 20 mobile LCP 36s blocks any hub swap.,Answer box: what a home builder marketing agency is. Define agency vs ad shop vs in-house. 5 FAQs on scope/local vs national. Speakable: What is a marketing agency for home builders?,Entity: BigOrange + builders + Cincinnati. Homearama/Janice claims gated. Satellites are proof not twins. No ranking or lead promises.,Vertical commercial hub (clone for MSP/manufacturing/landscaping)
P0,https://bigorange.marketing/msp-it-services-marketing-agency/,1034,page,IT and MSP Marketing Services,msp-it,deep-matrix-owner,rest-of-site,6,3,Best MSP Marketing Company,Best MSP Marketing Company|MSP Marketing Agency|msp marketing companies|Find a marketing agency for my MSP?|msp marketing company|How do I find a marketing agency for my MSP?,index,follow,True,,True,2026-06-18T21:38:22,IT and MSP Marketing Services - MSP marketing agency - BigOrange.Marketing,MSP commercial owner. Resolve engine split on msp marketing company vs /top-msp-marketing-agencies/. Remove top/lead-promise meta. Decide AI-search H1 vs agency H1. Noindex campaign twins.,Answer: what an MSP marketing agency does. Define vs in-house vs website vendor. 5 FAQs including How do I find a marketing agency for my MSP. Speakable: What is an MSP marketing agency?,Entity: BigOrange as MSP-specialist agency. No unsourced best-company table on this URL. Date AI-search claims. No citation promises.,MSP commercial hub
P0,https://bigorange.marketing/what-is-the-process-plan-of-storybrand/,4331,post,What Is the Process Plan of StoryBrand?,storybrand,deep-matrix-owner,rest-of-site,1,3,What is the process plan of a StoryBrand Website?,What is the process plan of a StoryBrand Website?,index,follow,True,,True,2024-05-30T14:29:56,What is the Process Plan of StoryBrand? - BigOrange.Marketing,Protect process/plan query (mobile 4/-2). Do not expand H1 to generic storybrand website. Link 7-steps and purpose as siblings.,Answer: StoryBrand process plan vs seven steps vs BrandScript. 5 FAQs. Speakable: What is the process plan of a StoryBrand website?,BOM process table is the firsthand asset. Remove increasing-leads meta. Attribute step names.,Process/plan article beside a framework definition
P0,https://bigorange.marketing/who-is-the-hero-of-your-website-storybrand-examples-that-make-your-customer-the-hero/,585,post,26 Best StoryBrand Examples for 2025,storybrand,deep-matrix-owner,rest-of-site,8,1,storybrand examples,storybrand examples|What are examples of StoryBrand Website?|storybrand website examples|storybrand brandscript examples|What are examples of StoryBrand BrandScript?|story brand websites|storybrand websites|storybrand website,index,follow,True,,True,2025-06-23T15:38:57,26 Best StoryBrand Examples for 2025: Grab Our Free Download,Protect storybrand examples (1) and declining website examples (2). Drop Best/2025 unless re-reviewed. Move BrandScript example terms to /storybrand-brandscript-examples/. Keep slug.,Answer: what StoryBrand website examples are. Define website vs BrandScript vs Guide. 5 FAQs. Speakable: What are StoryBrand website examples?,Attribute StoryBrand/Miller. Label BOM-built vs third-party. Client sites need permission. No ranking adjectives.,Annotated examples gallery (one job)
P1,https://bigorange.marketing/5-fundamentals-of-inbound-marketing/,4789,post,5 Fundamentals of Inbound Marketing for MSPs,msp-it,deep-matrix-owner,rest-of-site,3,3,inbound marketing msp,inbound marketing msp|inbound marketing msps|msp inbound marketing,index,follow,True,,True,2025-03-28T13:29:32,5 Fundamentals of Inbound Marketing for MSPs - BigOrange.Marketing,Keep MSP modifier in H1. Refresh declining inbound variants (4/-2). Do not target inbound marketing cincinnati (homepage).,Answer: inbound for MSPs. Define vs outbound. 5 FAQs. Speakable: What is inbound marketing for MSPs?,MSP modifier is the GEO. Source HubSpot inbound docs if cited. No ranking promises.,Methodology x vertical article
P1,https://bigorange.marketing/7-awesome-msp-story-based-website-examples-to-inspire-you/,2299,post,Webinar Replay: 7 Awesome MSP Story Based Website Examples to Inspire You,msp-it,deep-matrix-owner,rest-of-site,1,11,MSP website examples,MSP website examples,index,follow,True,,True,2023-02-16T18:46:47,7 Awesome MSP Story Based Website Examples to Inspire You - BigOrange.Marketing,Own MSP website examples (11) and unranked msp website (201-500). Drop Awesome; decide webinar vs evergreen. Review duplicate /7-awesome-msp-storybrand-examples-to-inspire-your-new-website/.,Answer+definition: what an MSP website is. 5 FAQs. Speakable: What is an MSP website?,Label BOM vs inspiration. Remove converts-to-leads meta. Lead-gen URL is not the gallery.,Vertical website gallery plus naked {vertical} website query
