Priority,Workstream,Action,Owner,Approver,Status,Target
P0,Contact page,"Remove internal note; proof SMS consent; test desktop and mobile",Web owner,Hope operations,Ready,48 hours
P0,Metadata,"Rewrite contact meta description around appointments and telehealth",Web owner,Hope clinical reviewer,Ready,48 hours
P0,Index hygiene,"Redirect or noindex /2526-2/ and give any retained utility page a descriptive title",Web owner,Hope operations,Ready,48 hours
P0,Analytics,"Capture 28-day and 90-day baselines; verify booking and form events",Analytics owner,Hope operations,Pending access,48 hours
P0,Google Business Profile,"Document in-person contact eligibility before creating or expanding profiles",Hope operations,Hope leadership,Decision required,7 days
P1,Homepage,"Approve service/state-led H1 and conversion hierarchy",Dillon / Momentum 360,Hope leadership,Ready for review,7 days
P1,State accuracy,"Validate providers services ages and insurance pathways by state",Hope clinical lead,Hope leadership,Decision required,7 days
P1,Content quality,"Compare eight base/-2 blog pairs; merge and redirect confirmed duplicates",SEO owner,Hope clinical reviewer,Ready,14 days
P1,Medical trust,"Add named author reviewer credentials reviewed date and sources to priority pages",Content owner,Hope clinical reviewer,Ready,30 days
P1,Video,"Run three therapist dress rehearsals and approve one setup and intro per participant",Video coordinator,Featured provider,Ready,Next Friday
P1,Animation,"Create first 60-second reel draft plus six modular cutdowns from existing handoff",Momentum 360 / Claude,Hope brand approver,Handoff ready,30 days
P1,State hubs,"Publish unique Rhode Island and Massachusetts telehealth hubs",Web / SEO owner,Hope clinical reviewer,Planned,30 days
P2,State hubs,"Publish New York Colorado and Arizona hubs after state validation",Web / SEO owner,Hope clinical reviewer,Blocked on validation,60 days
P2,Provider proof,"Expand provider profiles with credentials states focus ages and availability",Content owner,Each provider,Planned,60 days
P2,Optimization,"Review qualified appointment actions by state and service; expand only proven clusters",Dillon / Momentum 360,Hope leadership,Planned,90 days
